Nome ,Nível ,Empresa,Ensinio Superior, Ferramentas
Analista de Power BI,,300 FRANCHISING,"Graduação em Administração, Economia, Engenharia, Estatística, ou áreas correlatas.","power BI, Excel , CRM "
Analista de Power BI,Sênior,"Logotipo da Solor Tecnologia
Solor Tecnologia
",Formação na área de tecnologia.,"Power BI,  DAX, M Language, Power Apps, Power Automate,  Power Query, API, Banco de dados, SQL "
Analista de Dados PL/SQL  BI orientado a Negócios,Pleno,Minsait an Indra Company,,"Power BI, Linguagem R, Python, SQL, ETL"
Analista de Power BI Junior,Júnior,CONQUEST ONE,,"Power BI, Python, SQL,  Power Apps, Power Automate"
Analista de Power BI,Não Informado,Jobbol,,"Power BI, ETL, Qlik view"
Analista de BI,Não Informado,MIRANTE TECNOLOGIA,,"Power BI, Python, SQL, AWS"
Analista de BI Jr,Júnior,LIVE!,,"Power BI, Excel, VBA"
Analista power bi sênior,Sênior,Netvagas,,"Power BI, Excel, R, Python, SQL, ETL, MLOps, SQL, Azure"
Estagiário de BI (RevOps),Júnior,Twygo,,Power BI
Analista power bi sênior,Sênior,Netvagas,,"Power BI, Excel, R, Python, , ETL, MLOps, SQL , Azure"
Analista de BI,Não Informado,Netvagas,,"Power BI, Excel"
"Data Analyst | Especialista em BI, Estruturação e Análise de Dados",Não Informado,DOIS Z PUBLICIDADE LTDA,,"Power BI, Tableau, R, Python, SQL, ETL, AWS, Spark, Azure, Hadoop"
Analista de Power BI,Não Informado,Mundo do Enxoval,,"Power BI, Estatística, SQL, ETL"
"Data Analyst | Especialista em BI, Estruturação e Análise de Dados",Não Informado,DOIS Z PUBLICIDADE LTDA,,"Power BI, Tableau, Linguagem R, Python, SQL, ETL, AWS, Spark, Azure, Hadoop"
Analista de BI Jr,Júnior,LIVE!,,"Power BI, Excel, VBA"
Analista de Power BI,Não Informado,VINICIUS HENRIQUE CONTABILIDADE PUBLICA,,"Power BI, Python, SQL"
ANALISTA DE BI - BAURU,Não Informado,Paschoalotto,,"Power BI, Excel, Linguagem R, Python, SQL"
Analista de Power BI,Não Informado,MANPOWER STAFFING. (Matriz),,"Power BI, Excel"
Coordenador de BI,Não Informado,Redebrasil,,"Power BI, Tableau, Linguagem R, Python, SQL, Looker"
Analista de BI e Informações Gerenciais PL,Pleno,Unimed Litoral,,"Power BI, SQL"
Analista de power bi - pleno/sênior,Sênior,Netvagas,,"Power BI, Linguagem R, Python, SQL, ETL, Machine Learning"
Analista de BI,Não Informado,Directiva RH,,"Power BI, Excel"
Analista BI - Júnior,Júnior,GOL Linhas Aéreas,,"Power BI, Excel, Python, SQL, Databricks, Azure, Power Apps, Power Automate, VBA"
Analista de BI Junior,Júnior,Grupo i9 Process,,"Power BI, Excel, Python, ETL"
Analista de Power BI,Não Informado,MANPOWER STAFFING. (Matriz),,"Power BI, Excel"
Coordenador de BI,Não Informado,Redebrasil,,"Power BI, Tableau, Linguagem R, Python, SQL, Looker"
Analista BI Sênior (Modelagem DW | AWS),Sênior,Leega Consultoria,,"Power BI, Python, SQL, ETL, AWS, Machine Learning, GCP, Git, Azure"
Analista de power bi - pleno/sênior,Sênior,Netvagas,,"Power BI, Linguagem R, Python, SQL, ETL, Machine Learning"
Analista BI - Júnior,Júnior,GOL Linhas Aéreas,,"Power BI, Excel, Python, SQL, Databricks, Azure, Power Apps, Power Automate, VBA"
Analista de BI,Não Informado,Redebrasil,,"Power BI, SQL, ETL"
ANALISTA DE BI SR - RHA6271 - REMOTO,Sênior,Spread Tecnologia,,"Power BI, ETL, GCP, MySQL"
ANALISTA DE DADOS E POWER BI,Não Informado,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,,Power BI
Analista BI Sênior (Modelagem DW | AWS),Sênior,Leega Consultoria,,"Power BI, Python, SQL, ETL, AWS, Machine Learning, GCP, Git, Azure"
Âmbar Energia - Analista de BI Sr (Qlik Sense),Sênior,Âmbar Energia,,"Power BI, Qlik view"
ANALISTA DE BI JR - HIBRIDO TIJUCA/RJ - RHA6242,Pleno,Spread Tecnologia,,"Power BI, Tableau, SQL, ETL, Qlik view"
ANALISTA BI SR,Sênior,Scala,,"Power BI, Linguagem R, Python, SQL, ETL, Azure, Airflow"
Analista de BI,Não Informado,Az Acessórios Automotivos,,"Power BI, Excel"
Analista de BI,Não Informado,Redebrasil,,"Power BI, SQL, ETL"
Analista de BI SR,Sênior,Stefanini Group,,"Power BI, Tableau, SQL, ETL, SQL Server, Oracle, Qlik view, MySQL"
ANALISTA DE DADOS E POWER BI,Não Informado,ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,,Power BI
Âmbar Energia - Analista de BI Sr (Qlik Sense),Sênior,Âmbar Energia,,"Power BI, Qlik view"
Analista de Dados - BI | Sede Administrativa - Tangará da Serra/MT,Não Informado,Sicredi,,"SAS, Power BI, Estatística, Excel, Python, SQL, Databricks, Power Apps, Power Automate"
Analista de BI,Não Informado,Grupo Domingão,,"Power BI, Python"
Analista de BI,Não Informado,SICOOB ENGECRED,,"Power BI, Excel, SQL, SQL Server"
Analista de BI Pleno ou Sênior,Sênior,Opencircle,,"Power BI, Python, SQL, ETL, Machine Learning, SQL Server, Qlik view"
Administrador de solução analítica power bi,Pleno,Netvagas,,"Power BI, ETL, Linux"
Analista de BI,Não Informado,SICOOB ENGECRED,,"Power BI, Excel, SQL, SQL Server"
Analista de BI,Não Informado,NOVA S.A.,,"Power BI, Python, SQL, Machine Learning, Databricks"
Analista de BI,Não Informado,Netvagas,,"Power BI, Python"
Coordenador (a) de Analytics - BI,Não Informado,NOVA S.A.,,"Power BI, Python, SQL, Databricks"
ANALISTA DE BI SR - RIO DE JANEIRO,Sênior,OEmprego - Vagas Brasil,,"Power BI, Excel"
Analista de power bi - sênior,Sênior,Netvagas,,"Power BI, SQL, Power Apps, Power Automate"
Analista de BI,Não Informado,OSTEN GROUP,,Power BI
Analista Pleno de Business Intelligence - BI,Pleno,TENDA ATACADO,,"Power BI, Excel, ETL"
Consultor power bi iii,Sênior,Netvagas,,"Power BI, SQL"
