Tool,Count
"power bi, etl, gcp, mysql, power bi, etl, gcp, mysql, power bi, etl, gcp, mysql, power bi, etl, gcp, mysql, power bi, etl, gcp, mysql",1
"power bi, tableau, sql, etl, qlik view, power bi, tableau, sql, etl, qlik view, power bi, tableau, sql, etl, qlik view, power bi, tableau, sql, etl, qlik view, power bi, tableau, sql, etl, qlik view",1
airflow,1
"power bi, linguagem r, python, sql, etl, azure, airflow, power bi, linguagem r, python, sql, etl, azure, airflow, power bi, linguagem r, python, sql, etl, azure, airflow, power bi, linguagem r, python, sql, etl, azure, airflow, power bi, linguagem r, python, sql, etl, azure, airflow",1
"power bi, excel, linguagem r, python, sql, power bi, excel, linguagem r, python, sql, power bi, excel, linguagem r, python, sql, power bi, excel, linguagem r, python, sql, power bi, excel, linguagem r, python, sql",1
"power bi, tableau, sql, etl, sql server, oracle, qlik view, mysql, power bi, tableau, sql, etl, sql server, oracle, qlik view, mysql, power bi, tableau, sql, etl, sql server, oracle, qlik view, mysql, power bi, tableau, sql, etl, sql server, oracle, qlik view, mysql, power bi, tableau, sql, etl, sql server, oracle, qlik view, mysql",1
"power bi, estatística, sql, etl, power bi, estatística, sql, etl, power bi, estatística, sql, etl, power bi, estatística, sql, etl, power bi, estatística, sql, etl",1
"power bi, etl, qlik view, power bi, etl, qlik view, power bi, etl, qlik view, power bi, etl, qlik view, power bi, etl, qlik view",1
"sas, power bi, estatística, excel, python, sql, databricks, power apps, power automate, sas, power bi, estatística, excel, python, sql, databricks, power apps, power automate, sas, power bi, estatística, excel, python, sql, databricks, power apps, power automate, sas, power bi, estatística, excel, python, sql, databricks, power apps, power automate, sas, power bi, estatística, excel, python, sql, databricks, power apps, power automate",1
sas,1
"power bi, python, sql, etl, machine learning, sql server, qlik view, power bi, python, sql, etl, machine learning, sql server, qlik view, power bi, python, sql, etl, machine learning, sql server, qlik view, power bi, python, sql, etl, machine learning, sql server, qlik view, power bi, python, sql, etl, machine learning, sql server, qlik view",1
"power bi, etl, linux, power bi, etl, linux, power bi, etl, linux, power bi, etl, linux, power bi, etl, linux",1
"power bi, bancos de dados, sql, scrum e kanban., power bi, bancos de dados, sql, scrum e kanban., power bi, bancos de dados, sql, scrum e kanban., power bi, bancos de dados, sql, scrum e kanban., power bi, bancos de dados, sql, scrum e kanban.",1
"power bi, python, sql, aws, power bi, python, sql, aws, power bi, python, sql, aws, power bi, python, sql, aws, power bi, python, sql, aws",1
"power bi, python, sql, machine learning, databricks, power bi, python, sql, machine learning, databricks, power bi, python, sql, machine learning, databricks, power bi, python, sql, machine learning, databricks, power bi, python, sql, machine learning, databricks",1
"power b.i, power b.i, power b.i, power b.i, power b.i",1
"sql, excel avançado, power bi, looker, git., sql, excel avançado, power bi, looker, git., sql, excel avançado, power bi, looker, git., sql, excel avançado, power bi, looker, git., sql, excel avançado, power bi, looker, git.",1
scrum e kanban.,1
"power bi, sql, tableau, qlik sense, etl., power bi, sql, tableau, qlik sense, etl., power bi, sql, tableau, qlik sense, etl., power bi, sql, tableau, qlik sense, etl., power bi, sql, tableau, qlik sense, etl.",1
"banco de dados, sql  power bi, pacote office avançado, banco de dados, sql  power bi, pacote office avançado, banco de dados, sql  power bi, pacote office avançado, banco de dados, sql  power bi, pacote office avançado, banco de dados, sql  power bi, pacote office avançado",1
"power bi, bancos de dados, mysql, progress, banco de dados, erp, totvs datasul, power bi, bancos de dados, mysql, progress, banco de dados, erp, totvs datasul, power bi, bancos de dados, mysql, progress, banco de dados, erp, totvs datasul, power bi, bancos de dados, mysql, progress, banco de dados, erp, totvs datasul, power bi, bancos de dados, mysql, progress, banco de dados, erp, totvs datasul",1
progress,1
"power bi, banco de dados, sql, pacote office avançado, power bi, banco de dados, sql, pacote office avançado, power bi, banco de dados, sql, pacote office avançado, power bi, banco de dados, sql, pacote office avançado, power bi, banco de dados, sql, pacote office avançado",1
"power bi, power query, dax, banco de dados, sql, power bi, power query, dax, banco de dados, sql, power bi, power query, dax, banco de dados, sql, power bi, power query, dax, banco de dados, sql, power bi, power query, dax, banco de dados, sql",1
"odi, dw, stage, relacional, dimensional, banco de dados, sql, odi, dw, stage, relacional, dimensional, banco de dados, sql, odi, dw, stage, relacional, dimensional, banco de dados, sql, odi, dw, stage, relacional, dimensional, banco de dados, sql, odi, dw, stage, relacional, dimensional, banco de dados, sql",1
testes a/b,1
"power bi, banco de dados, sql, testes a/b, power bi, banco de dados, sql, testes a/b, power bi, banco de dados, sql, testes a/b, power bi, banco de dados, sql, testes a/b, power bi, banco de dados, sql, testes a/b",1
power bi  banco de dados sql,1
integrações api.,1
"power bi  banco de dados sql, integrações api., power bi  banco de dados sql, integrações api., power bi  banco de dados sql, integrações api., power bi  banco de dados sql, integrações api., power bi  banco de dados sql, integrações api.",1
pipelines,1
"power bi, pipelines, banco de dados, sql, power bi, pipelines, banco de dados, sql, power bi, pipelines, banco de dados, sql, power bi, pipelines, banco de dados, sql, power bi, pipelines, banco de dados, sql",1
banco de dados.,1
"qlik sense, power bi, etl, sql, banco de dados., qlik sense, power bi, etl, sql, banco de dados., qlik sense, power bi, etl, sql, banco de dados., qlik sense, power bi, etl, sql, banco de dados., qlik sense, power bi, etl, sql, banco de dados.",1
restful api,1
postgresql,1
