"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://fcamara.gupy.io/job/eyJqb2JJZCI6ODE4ODIwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Sênior,Cientista de Dados LLM - Sênior,VENHA SER #SANGUELARANJA 🧡🚀,"Power BI, ETL, Git, Deep Learning"
https://smarthis.gupy.io/job/eyJqb2JJZCI6ODE4OTUxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Pleno,Cientista de Dados Pleno,Smarthis,"SAS, Power BI, Estatística, Excel, Python, SQL, ETL, Machine Learning, Git"
https://kpmgbrasil.gupy.io/job/eyJqb2JJZCI6ODE4NjMwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Pleno,Cientista de Dados Pleno,KPMG Brasil,"SAS, Power BI, Estatística, Excel, Python, SQL, ETL, Databricks, Spark"
https://minsait.gupy.io/job/eyJqb2JJZCI6ODE3MjA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Engenheiro de Dados,Minsait an Indra Company,"Power BI, Python, AWS, GCP, Databricks, Spark, Azure, Airflow"
https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6ODE4NTY1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,ENGENHEIRO DE DADOS PL - BB ,Globalweb,"Power BI, Excel, Python, SQL, ETL, Spark, Hadoop"
https://bellinatiperez.gupy.io/job/eyJqb2JJZCI6ODE4ODc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Engenheiro de Dados Sênior,Bellinati Perez,"SAS, Power BI, Excel, Python, SQL, AWS, Machine Learning, GCP, Git, Github, Azure"
https://leega.gupy.io/job/eyJqb2JJZCI6ODE4NDcyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Engenheiro de Dados Sênior (GCP),Leega Consultoria,"SAS, Power BI, Excel, Python, SQL, ETL, Git, Github, Spark, Airflow, Hadoop, CI/CD"
https://grupomarista.gupy.io/job/eyJqb2JJZCI6ODE3MTEzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Pessoa Analista de Dados Pleno - Afirmativa para pessoas pretas e pardas,Grupo Marista,"SAS, Power BI, Estatística, SQL, ETL"
https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4OTY4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados,MJV Technology & Innovation,"SAS, Power BI, Azure, Teradata"
https://almapbbdo.gupy.io/job/eyJqb2JJZCI6ODE1Njc0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior,Pessoa Analista de Dados Sênior,AlmapBBDO,"Power BI, Excel, SQL, ETL, Power Point, AWS, GCP, Git"
https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6ODE3OTQ5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados - Supply Chain,Grupo SBF ,"SAS, Power BI, Excel, Python"
https://inmetrics.gupy.io/job/eyJqb2JJZCI6ODE4NTY3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,ANALISTA DE ENGENHARIA DE DADOS PL - HÍBRIDO SP,Vagas Inmetrics,"SAS, Power BI, Excel, Python, SQL, ETL, Git, Bash"
https://programa-formacao.gupy.io/job/eyJqb2JJZCI6ODE0OTU3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,Engenheiro(a) de Dados Senior,EQI Investimentos,"SAS, Power BI, Excel, Python, SQL, Azure"
"https://www.glassdoor.com.br/job-listing/analista-de-business-intelligence-bi-são-paulo-vila-olímpia-premierpet-JV_IC2479061_KO0,59_KE60,70.htm?jl=1009515738642",Engenheiro de Dados,Não Informado,Analista de Business Intelligence (BI) - São Paulo (Vila Olímpia),PremieRpet®,"Power BI, Tableau, SQL, ETL"
https://www.vagas.com.br/vagas/v2691924/analista-de-dados-pleno,Analista de Dados,Pleno,Analista de Dados Pleno,Somar Diversidade,"Power BI, Excel"
https://www.vagas.com.br/vagas/v2683093/analista-de-dados-sr,Analista de Dados,Sênior,Analista de Dados Sr,Marjan Farma,"Power BI, Python, SQL, ETL, Machine Learning, Azure"
https://www.vagas.com.br/vagas/v2692982/analista-dados-jr,Analista de Dados,Júnior,Analista Dados Jr,Confidencial,"Power BI, Excel"
https://www.vagas.com.br/vagas/v2692134/analista-de-dados,Analista de Dados,Júnior,Analista de Dados,Allp Fit Acamademia,"Excel, SQL"
https://www.vagas.com.br/vagas/v2679286/analista-de-dados,Analista de Dados,Pleno,Analista de Dados,Kasznar Leonardos,"Power BI, Excel, ETL"
https://www.vagas.com.br/vagas/v2696908/analista-de-dados,Analista de Dados,Júnior,Analista de Dados,AGC Vidros do Brasil,"Power BI, Excel, SQL, ETL"
https://www.vagas.com.br/vagas/v2694748/analista-de-dados-pl,Analista de Dados,Pleno,Analista de Dados Pl,Marjan Farma,"Power BI, Python, SQL, ETL"
https://www.vagas.com.br/vagas/v2685818/analista-engenheiro-de-dados-sr,Analista de Dados,Sênior,Analista Engenheiro de Dados Sr,Inspirali,"Power BI, Excel, Python, SQL, ETL, Databricks"
https://www.vagas.com.br/vagas/v2695662/analista-de-dados-e-performance-jr,Analista de Dados,Júnior,Analista de Dados e Performance Jr,EDITORA GLOBO,Power BI
https://www.vagas.com.br/vagas/v2685803/analista-ciencia-de-dados-sr-analista-bi-sr,Analista de Dados,Sênior,Analista Ciência de Dados Sr (Analista Bi Sr),Inspirali,"Power BI, Tableau, Excel, SQL, ETL"
https://www.vagas.com.br/vagas/v2693427/analista-de-pesquisa-de-mercado-dados,Analista de Dados,Sênior,Analista de Pesquisa de Mercado (Dados),Cushman,Power BI
https://www.vagas.com.br/vagas/v2694421/analista-de-seguranca-de-banco-de-dados-pleno,Analista de Dados,Pleno,Analista de Segurança de Banco de Dados Pleno,Oakmont Group,"SQL, Oracle, Linux"
https://www.vagas.com.br/vagas/v2696619/analista-custos-sinistros-pl-analise-de-dados,Analista de Dados,Pleno,Analista Custos Sinistros Pl - Análise de Dados,SulAmérica,Excel
https://www.vagas.com.br/vagas/v2696421/movimenta-rede-analista-de-qualidade-pl-acuracia-de-dados-corporativo-rj,Analista de Dados,Pleno,Movimenta Rede - Analista de Qualidade Pl - Acurácia de Dados - Corporativo RJ,Rede D'Or,Excel
https://www.vagas.com.br/vagas/v2692163/analista-de-bi-jr,Analista de Dados,Júnior,Analista de Bi Jr.,Selpe,"SQL, Azure"
https://www.vagas.com.br/vagas/v2692930/analista-de-pricing-sr,Analista de Dados,Sênior,Analista de Pricing Sr,J&T Express,Excel
https://www.vagas.com.br/vagas/v2691811/analista-de-performance,Analista de Dados,Pleno,Analista de Performance,XCMG Brasil Indústria,"Power BI, Excel"
https://www.vagas.com.br/vagas/v2696744/analista-de-produtos-ii,Analista de Dados,Pleno,Analista de Produtos II,Odontoprev,"SAS, Power BI, Tableau, Python, SQL, Looker"
https://www.vagas.com.br/vagas/v2695047/analista-de-bi,Analista de Dados,Pleno,Analista de Bi,Furukawa Electric LatAm,"Power BI, Tableau, Python, SQL, AWS"
