"vaga_id","link_site","link_origem","data_publicacao","data_coleta","link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
11,https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://autoglassadministrativo.gupy.io/job/eyJqb2JJZCI6ODE4NTAzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Júnior,Analista de Dados I - Financeiro,Grupo Autoglass Administrativo,"Power BI, Tableau, Excel, SQL"
12,https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://windwerk.gupy.io/job/eyJqb2JJZCI6ODE2NzE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Analista de Dados em Energias Renováveis (Pleno),WINDWERK Jobs,"SAS, Power BI, Excel"
13,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODE4ODIwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODE4ODIwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://fcamara.gupy.io/job/eyJqb2JJZCI6ODE4ODIwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Sênior,Cientista de Dados LLM - Sênior,VENHA SER #SANGUELARANJA 🧡🚀,"Power BI, ETL, Git, Deep Learning"
14,https://smarthis.gupy.io/job/eyJqb2JJZCI6ODE4OTUxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://smarthis.gupy.io/job/eyJqb2JJZCI6ODE4OTUxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://smarthis.gupy.io/job/eyJqb2JJZCI6ODE4OTUxNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Pleno,Cientista de Dados Pleno,Smarthis,"SAS, Power BI, Estatística, Excel, Python, SQL, ETL, Machine Learning, Git"
15,https://kpmgbrasil.gupy.io/job/eyJqb2JJZCI6ODE4NjMwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://kpmgbrasil.gupy.io/job/eyJqb2JJZCI6ODE4NjMwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://kpmgbrasil.gupy.io/job/eyJqb2JJZCI6ODE4NjMwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Cientista de Dados,Pleno,Cientista de Dados Pleno,KPMG Brasil,"SAS, Power BI, Estatística, Excel, Python, SQL, ETL, Databricks, Spark"
16,https://minsait.gupy.io/job/eyJqb2JJZCI6ODE3MjA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://minsait.gupy.io/job/eyJqb2JJZCI6ODE3MjA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://minsait.gupy.io/job/eyJqb2JJZCI6ODE3MjA3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Engenheiro de Dados,Minsait an Indra Company,"Power BI, Python, AWS, GCP, Databricks, Spark, Azure, Airflow"
17,https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6ODE4NTY1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6ODE4NTY1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6ODE4NTY1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,ENGENHEIRO DE DADOS PL - BB ,Globalweb,"Power BI, Excel, Python, SQL, ETL, Spark, Hadoop"
18,https://bellinatiperez.gupy.io/job/eyJqb2JJZCI6ODE4ODc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://bellinatiperez.gupy.io/job/eyJqb2JJZCI6ODE4ODc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://bellinatiperez.gupy.io/job/eyJqb2JJZCI6ODE4ODc3Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Engenheiro de Dados Sênior,Bellinati Perez,"SAS, Power BI, Excel, Python, SQL, AWS, Machine Learning, GCP, Git, Github, Azure"
19,https://leega.gupy.io/job/eyJqb2JJZCI6ODE4NDcyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://leega.gupy.io/job/eyJqb2JJZCI6ODE4NDcyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-25",https://leega.gupy.io/job/eyJqb2JJZCI6ODE4NDcyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Engenheiro de Dados Sênior (GCP),Leega Consultoria,"SAS, Power BI, Excel, Python, SQL, ETL, Git, Github, Spark, Airflow, Hadoop, CI/CD"
20,https://grupomarista.gupy.io/job/eyJqb2JJZCI6ODE3MTEzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://grupomarista.gupy.io/job/eyJqb2JJZCI6ODE3MTEzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-26","2024-11-26",https://grupomarista.gupy.io/job/eyJqb2JJZCI6ODE3MTEzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,Pessoa Analista de Dados Pleno - Afirmativa para pessoas pretas e pardas,Grupo Marista,"SAS, Power BI, Estatística, SQL, ETL"
